"Length","Width","Height"
4.53259949315326,4.30406509320417,3.61091791264422
4.54329478227,4.35670882668959,3.55534806148941
4.56434819146784,4.38202663467388,3.55534806148941
4.61512051684126,4.43081679884331,3.66356164612965
4.62497281328427,4.44265125649032,3.63758615972639
4.63472898822964,4.39444915467244,3.61091791264422
4.64439089914137,4.4188406077966,3.66356164612965
4.66343909411207,4.4188406077966,3.66356164612965
4.67282883446191,4.40671924726425,3.63758615972639
4.71849887129509,4.48863636973214,3.68887945411394
4.72738781871234,4.47733681447821,3.68887945411394
4.7361984483945,4.45434729625351,3.68887945411394
4.75359019110636,4.49980967033027,3.76120011569356
4.76217393479776,4.49980967033027,3.71357206670431
4.76217393479776,4.51085950651685,3.71357206670431
4.77912349311153,4.53259949315326,3.71357206670431
4.78749174278205,4.48863636973214,3.68887945411394
4.78749174278205,4.53259949315326,3.78418963391826
4.79579054559674,4.55387689160054,3.73766961828337
4.8283137373023,4.53259949315326,3.80666248977032
4.84418708645859,4.56434819146784,3.80666248977032
4.85203026391962,4.55387689160054,3.80666248977032
4.87519732320115,4.55387689160054,3.8286413964891
4.90527477843843,4.66343909411207,3.85014760171006
